	Unnamed: 0	name	cat	address	emp	vac	lat	lon	district
801	801	"ООО ""Нико"""	Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах	690001, г Владивосток, ул Светланская, д. 167, офис 317	263	0	43.1125727	131.9226255	Ленинский
802	802	"ООО ""НИКО-ОЙЛ ДВ"""	Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами	690001, г Владивосток, ул Светланская, д. 167, офис 318	149	3	43.1125727	131.9226255	Ленинский
803	803	"ООО ""ННК-БУНКЕР"""	Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами…	690091, г Владивосток, ул Фонтанная, д. 55, офис 301	28	4	43.1196131	131.889411	Ленинский
804	804	"ООО ""Новомед"""	Деятельность больничных организаций	690087, г Владивосток, ул Котельникова, д. 2	100	0	43.1307484	131.9283471	Первореченский
805	805	"ООО ""Норфес-Марин Сервис"""	Деятельность сухопутного и трубопроводного транспорта	г Владивосток, ул.В.Портовая, 18	111	0	43.1064876	131.8765588	Фрунзенский
806	806	"ООО ""О` ВИТА"""	Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)…	"690106, г Владивосток, пр-кт Партизанский, д. 44, офис 3, , территория ""Инструментального завода"";"	50	0	43.127413	131.902562	Ленинский
807	807	"ООО ""ОА ""ТОРНАДО-С"""	Деятельность частных охранных служб…	690106, г Владивосток, пр-кт Красного Знамени, д. 33, офис 17	60	0	43.1287491	131.8995608	
808	808	"ООО ""Обувь России"""	Торговля розничная обувью в специализированных магазинах…	690016, г Владивосток, ул Борисенко, д. 17	56	2	43.1014464	131.9451429	Первомайский
809	809	"ООО ""ОЙЛ-КОМПАКТ"""	Деятельность вспомогательная, связанная с морским транспортом	690012, г Владивосток, ул Калинина, д. 239	50	0	43.091892	131.89065	Первомайский
810	810	"ООО ""ОКЕАН"""	Производство изделий из бумаги и картона…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 504, собеседование с предварительной записью по телефону	1	0	43.1286497	131.8921162	Фрунзенский
811	811	"ООО ""ОКЕАНВОСТОКСЕРВИС"""	Торговля оптовая прочими пищевыми продуктами, включая рыбу, ракообразных и моллюсков…	690021, г Владивосток, ул Гульбиновича, д. 13	36	0	43.0950625	131.9057913	Первомайский
812	812	"ООО ""ОКТАВА"""	Производство прочих деревянных изделий; производство изделий из пробки, соломки и материалов для плетения…	690106, г Владивосток, пр-кт Океанский, д. 69, стр. офис 501, Собеседование по адресу: г. Владивосток Пр. Океанский, 69 офис 501 каждый вторник с 10:00 до 11:00 ОБЯЗАТЕЛЬНА ПРЕДВАРИТЕЛЬНАЯ ЗАПИСЬ ПО ТЕЛЕФОНУ.	6	13	43.1286497	131.8921162	Фрунзенский
813	813	"ООО ""ОктопусНет"""	Деятельность по предоставлению услуг подвижной связи для целей передачи голоса	690005, г Владивосток, ул Зейская, д. 4/2	332	1	43.1169079	131.9345956	Ленинский
814	814	"ООО ""Оридан"""	Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах…	692853, г Партизанск, ул Ленинская, д. 1, корп. Г	55	0	43.115555	133.11629	
815	815	"ООО ""Ортодонтикс групп"""	Стоматологическая практика	690003, г Владивосток, ул Станюковича, д. 52	35	0	43.1049402	131.8696379	Фрунзенский
